,wt,score,lb,ub
54,52.559823125508224,-6.489754935589488,-8.2770961483073,-4.702413722871676
55,53.863489349619,-6.260950160185486,-8.064931175739906,-4.456969144631065
56,54.343849624822894,-5.289315839444813,-7.18778466681906,-3.3908470120705667
57,55.336355814125795,-4.867310544345048,-6.776799547120818,-2.9578215415692783
58,56.864765972482694,-4.408588824724642,-6.241805916530893,-2.575371732918392
59,57.47046604445168,-4.437518721496437,-6.277437413853319,-2.5976000291395547
60,57.7532856408274,-4.385872719999138,-6.216645659112698,-2.555099780885577
61,58.71569317354088,-4.364862255468252,-6.199988522926395,-2.52973598801011
62,59.447396654817844,-3.2244630003864403,-5.1542091505376275,-1.294716850235253
63,59.74113402582521,-3.157675637667763,-5.092998435657937,-1.2223528396775887
64,59.84779109293104,-3.144328219916463,-5.090702047905289,-1.197954391927637
65,60.08861947504967,-2.674479877235485,-4.625038352109145,-0.723921402361825
66,62.95776113459639,-2.7125588221264434,-4.696938181032193,-0.7281794632206935
67,63.220592424069174,-2.6823319568775954,-4.685672784727942,-0.6789911290272488
68,63.93339281881958,-2.0291268771691007,-3.93300870781935,-0.1252450465188515
69,64.80872973792029,-2.023249635477057,-3.94227776310611,-0.10422150784800399
70,65.33366223411281,-1.6842164287379044,-3.6125504065494534,0.2441175490736447
71,66.16143130173374,-1.5441877210659705,-3.4775126793455904,0.3891372372136497
72,66.33801153784465,1.1812109684399674,-0.9061621796983665,3.2685841165783014
73,66.56593959409805,3.3047418795919423,1.3983836254872404,5.211100133696644
74,66.70108020502428,3.3617035708024154,1.4345346044075364,5.288872537197294
75,67.14954422626036,4.432491336002622,2.3219567168988386,6.543025955106405
76,67.67147517656389,3.375754159644364,1.624105583165495,5.1274027361232335
77,68.1625429514631,3.3657979032624468,1.6691808759917175,5.062414930533176
78,68.64876070948482,3.396093788746251,1.688507610431187,5.103679967061315
79,68.87467702676622,2.9841594537714506,1.4291744021978323,4.539144505345069
80,68.99471546503707,2.9167838918830657,1.3746594758914379,4.458908307874694
81,69.0303921419538,3.0043466545873674,1.4703937877668791,4.538299521407856
82,69.14514254441549,3.407875143355186,1.9457848951805234,4.869965391529849
83,69.55212791161615,3.460863385363636,2.00711013526892,4.914616635458351
84,69.67434151656454,3.64787562681048,2.2288305355305584,5.066920718090401
85,69.70733812588402,4.641626032720122,3.2238555899291583,6.059396475511086
86,69.75907258100187,4.7704583494681945,3.3483064449043196,6.192610254032069
87,69.84903151761414,4.7838207858746475,3.3681429541462515,6.1994986176030435
88,70.03270957487553,4.891796634979576,3.5470305546281775,6.236562715330974
89,70.18866375897204,5.2850305188964395,4.053515233156259,6.51654580463662
90,70.30876584566624,5.053271277231923,3.8900477619863234,6.216494792477523
91,70.41732938165956,4.978077641613552,3.824080583618338,6.132074699608767
92,70.46166343339985,5.122214277263199,3.981869393128477,6.26255916139792
93,70.61077748340811,5.877917771937428,4.710720643984066,7.045114899890789
94,70.75817953796354,5.695003849532114,4.635390026761283,6.7546176723029445
95,70.83055867995294,5.654553405467443,4.6120243981900995,6.697082412744786
96,70.98750229677812,5.68193695046995,4.645492158898733,6.718381742041167
97,71.15210164779278,5.7982725587702895,4.7879734143468085,6.8085717031937705
98,71.212576534716,6.412951197591076,5.382893902522662,7.443008492659489
99,71.25142577759712,6.547719814597917,5.468952315432917,7.626487313762917
100,71.30324211972825,6.570865178110376,5.485980387511287,7.655749968709465
101,71.53153269601042,6.624663798695265,5.525236978858683,7.7240906185318465
102,71.87262588209832,6.63284973673586,5.530546201594312,7.735153271877408
103,72.08589472849899,6.635216747034143,5.530189421503306,7.7402440725649795
104,72.17419062693578,6.667337184580392,5.5412113529275615,7.793463016233222
105,72.21926431751473,6.6664586055234025,5.542985921338266,7.789931289708539
106,72.31929947816523,6.690136943223413,5.562137436513713,7.818136449933113
107,72.43480012111011,6.695583882171533,5.567051894184507,7.824115870158559
108,72.48735557726377,6.693184957407707,5.5665743609650775,7.819795553850337
109,72.49365800197833,6.692351754101917,5.566425774337883,7.818277733865951
110,72.54614273406382,6.687718035588739,5.562567074114179,7.812868997063299
111,72.60084796096032,6.598498884347697,5.540584842318759,7.6564129263766345
112,72.7056605284832,6.530850415390635,5.532662834586134,7.529037996195136
113,72.87304878016187,6.514062458038358,5.528487636937123,7.499637279139594
114,72.95255128943822,6.5152352046640924,5.532094817369227,7.498375591958958
115,72.99171033611904,6.517118055968531,5.533937530583742,7.50029858135332
116,73.02442964825585,6.50159804949512,5.529221633551765,7.473974465438475
117,73.03630350223239,6.4985439493427055,5.529166524344535,7.467921374340876
